
2022/11/23 (00:28:23) | ===> btop++ v.1.2.13
2022/11/23 (00:28:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/23 (12:41:55) | ===> btop++ v.1.2.13
2022/11/23 (12:41:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/24 (01:53:36) | ===> btop++ v.1.2.13
2022/11/24 (01:53:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/12 (15:39:56) | ===> btop++ v.1.2.13
2023/01/12 (15:39:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/12 (15:40:07) | ===> btop++ v.1.2.13
2023/01/12 (15:40:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/27 (16:16:44) | ===> btop++ v.1.2.13
2023/01/27 (16:16:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/27 (16:26:54) | ===> btop++ v.1.2.13
2023/01/27 (16:26:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/10 (18:32:08) | ===> btop++ v.1.2.13
2023/02/10 (18:32:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/15 (10:01:59) | ===> btop++ v.1.2.13
2023/02/15 (10:01:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/15 (11:02:43) | ===> btop++ v.1.2.13
2023/02/15 (11:02:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/22 (18:45:03) | ===> btop++ v.1.2.13
2023/03/22 (18:45:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/22 (20:20:53) | ===> btop++ v.1.2.13
2023/03/22 (20:20:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/23 (23:11:42) | ===> btop++ v.1.2.13
2023/04/23 (23:11:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/10 (22:49:30) | ===> btop++ v.1.2.13
2023/09/10 (22:49:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/10 (22:52:25) | ===> btop++ v.1.2.13
2023/09/10 (22:52:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/10 (22:52:49) | ===> btop++ v.1.2.13
2023/09/10 (22:52:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/10 (22:53:00) | ===> btop++ v.1.2.13
2023/09/10 (22:53:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/02 (12:32:10) | ===> btop++ v.1.2.13
2023/10/02 (12:32:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
